meal_id,username,meal_name,meal_date,meal_type,calories,protein,fat,sugar
1,lacey_valenta,Paleo Breakfast Casserole Recipe In A Mug,2023-03-03,breakfast,521,44,17,13
2,lacey_valenta,Maharashtrian Batatyacha Kees Recipe (Spicy Roasted Potatoes With Peanuts),2023-03-03,lunch,418,37,11,15
3,lacey_valenta,Crispy Amla Gawar Phali Sabzi Recipe,2023-03-03,dinner,733,32,9,11
4,wendell_cervantez,Mushroom And Scrambled Egg Bagel Sandwich Recipe,2023-03-03,breakfast,713,40,16,19
5,wendell_cervantez,Mulangi Thoran Recipe - Radish Stir Fry With Coconut,2023-03-03,lunch,756,33,18,21
6,wendell_cervantez,Konkani Style Karate Batate Puddi Sagle Recipe - Bitter Gourd & Potato Curry,2023-03-03,dinner,585,40,17,16
7,tabansi_cagle,Healthy Spinach Idli Recipe (Steamed Spinach Savory Cake),2023-03-03,breakfast,647,36,10,15
8,tabansi_cagle,Chicken Barbecue Pizza Recipe ,2023-03-03,lunch,440,36,14,12
9,tabansi_cagle,Punjabi Kadhi Pakora Recipe,2023-03-03,dinner,711,37,11,17
10,maureen_yeates,Carrot Ginger Juice Recipe,2023-03-03,breakfast,620,28,16,18
11,maureen_yeates,Kandathippili Rasam Recipe - Long Pepper Rasam,2023-03-03,lunch,502,31,15,16
12,maureen_yeates,Vegetarian Sloppy Joe Recipe ,2023-03-03,dinner,585,40,9,13
13,marvelle_massa,Mixed Vegetable Sagu Recipe - Karnataka Style Vegetable Kurma Recipe,2023-03-03,breakfast,531,35,13,13
14,marvelle_massa,Awadhi Style Khatti Arbi Ka Salan Recipe - Roz Ka Khana With Figaro Olive Oil,2023-03-03,lunch,717,37,13,19
15,marvelle_massa,Fettuccine Pasta Recipe In Tomato Basil Sauce,2023-03-03,dinner,629,41,15,13
16,becse_massa,Besan Aur Pyaz Ka Cheela Recipe - Roz Ka Khana With Figaro Olive Oil,2023-03-03,breakfast,628,28,17,17
17,becse_massa,Sadya Parippu Recipe - Kerala Style Lentils,2023-03-03,lunch,438,41,18,17
18,becse_massa,Punjabi Kadhi Pakora Recipe - Delicious Punjabi Kadhi,2023-03-03,dinner,579,46,13,14
19,esteban_hoag,Ragi Oatmeal Kanji Recipe - Healthy Diabetic Porridge Recipe,2023-03-03,breakfast,528,35,18,19
20,esteban_hoag,Broccoli Chilli Noodles With Grilled Salmon Recipe,2023-03-03,lunch,640,36,15,9
21,esteban_hoag,Homemade Roasted Bell Pepper Pasta Sauce Recipe ,2023-03-03,dinner,639,36,15,14
22,chad_nalls,High Protein Spinach Basil & Cheese Omelette Recipe,2023-03-03,breakfast,570,31,14,12
23,chad_nalls,Chicken Spaghetti in Tomato Basil Sauce Recipe,2023-03-03,lunch,521,40,9,13
24,chad_nalls,Paneer Makhani Recipe-Restaurant Style Recipe,2023-03-03,dinner,653,38,17,15
25,yuri_hon,Besan Methi Paratha Recipe ,2023-03-03,breakfast,524,46,12,12
26,yuri_hon,Milagu Kozhambu Recipe,2023-03-03,lunch,697,35,11,15
27,yuri_hon,Healthy Lauki Kofta Curry Recipe | Non Fried Bottle Gourd Kofta Curry | Dhoodi Kofta,2023-03-03,dinner,802,25,9,12
28,dade_gastelum,Stuffed Yellow Moong Dal And Onion Paratha Recipe ,2023-03-03,breakfast,459,32,11,15
29,dade_gastelum,Sindhi Kadhi Recipe,2023-03-03,lunch,633,41,14,11
30,dade_gastelum,Vegetarian Pad Thai Recipe - Thai style Stir fried Vegetarian Rice Noodle Dish,2023-03-03,dinner,577,31,6,11
31,lacey_valenta,Carrot Matar Paratha Recipe,2023-03-04,breakfast,500,31,10,11
32,lacey_valenta,Gujarati Batata Pulao Recipe - Sweet And Spicy Pulao With Lentils And Potatoes,2023-03-04,lunch,664,26,10,11
33,lacey_valenta,Capsicum Curry Recipe,2023-03-04,dinner,589,39,17,10
34,wendell_cervantez,Spicy Moroccan Eggs Recipe,2023-03-04,breakfast,448,42,15,19
35,wendell_cervantez,Uttarakhand Style Black Gram Chainsoo Recipe,2023-03-04,lunch,495,44,20,14
36,wendell_cervantez,Penne Pasta In White Sauce Recipe,2023-03-04,dinner,573,40,14,13
37,tabansi_cagle,Mangalorean Style Kayi Vade Recipe (Coconut and Rice Flour Fried Bread Recipe),2023-03-04,breakfast,661,34,10,18
38,tabansi_cagle,Pazhutha Manga Pachadi Recipe - Kerala Style Ripe Mango Curry,2023-03-04,lunch,613,32,8,8
39,tabansi_cagle,Penne Pasta In White Sauce Recipe,2023-03-04,dinner,623,34,12,12
40,maureen_yeates,Instant Masala Oats Kuzhi Paniyaram Recipe,2023-03-04,breakfast,607,33,19,12
41,maureen_yeates,Khandeshi Sev Bhaji Recipe,2023-03-04,lunch,633,46,18,20
42,maureen_yeates,Pasta In Pudina Chutney Sauce - A Indian Fusion Recipe,2023-03-04,dinner,532,31,18,13
43,marvelle_massa,Aval Upma Recipe - South Indian Style Poha,2023-03-04,breakfast,737,38,12,13
44,marvelle_massa,Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),2023-03-04,lunch,600,43,12,15
45,marvelle_massa,Moroccan Roast Chicken with Apricots Recipe,2023-03-04,dinner,699,48,12,14
46,becse_massa,Spicy Quinoa Upma Recipe,2023-03-04,breakfast,536,31,17,11
47,becse_massa,Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),2023-03-04,lunch,638,34,11,12
48,becse_massa,Gujarati Biraj Recipe - Saffron Flavored Sweet Lentil Rice With Dry Fruits & Coconut,2023-03-04,dinner,619,36,13,13
49,esteban_hoag,French Toast Oatmeal Bake Recipe,2023-03-04,breakfast,422,35,17,10
50,esteban_hoag,Mexican Sizzler Recipe,2023-03-04,lunch,545,22,15,11
51,esteban_hoag,Hyderabadi Laziz Lamb Handi Recipe,2023-03-04,dinner,567,40,15,14
52,chad_nalls,Whole Wheat Chocolate Chip Pancakes With Apples Recipe,2023-03-04,breakfast,531,29,16,14
53,chad_nalls,Bhindi Huli Recipe - South Indian Style Tangy Okra,2023-03-04,lunch,465,38,14,11
54,chad_nalls,Chicken Keema Biryani Recipe,2023-03-04,dinner,524,32,15,14
55,yuri_hon,Bullseye On Toast Recipe ,2023-03-04,breakfast,587,32,22,12
56,yuri_hon,Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,2023-03-04,lunch,675,24,10,14
57,yuri_hon,Paplet Hooman Recipe - Goan Pomfret Curry,2023-03-04,dinner,730,35,14,19
58,dade_gastelum,Mango & Fruit Filled Creme Crepe Recipe,2023-03-04,breakfast,393,37,13,19
59,dade_gastelum,Chicken Mapas Recipe - Chicken in Coconut Milk Curry,2023-03-04,lunch,466,26,17,11
60,dade_gastelum,Mughlai Aloo Lajawab Recipe - Mughlai Aloo Sabzi Recipe,2023-03-04,dinner,462,42,11,14
61,lacey_valenta,Fluffy Buttermilk Pancake Recipe,2023-03-05,breakfast,610,32,16,17
62,lacey_valenta,Karnataka Special Huli Tovve Recipe,2023-03-05,lunch,616,50,15,17
63,lacey_valenta,Whole Wheat Soya Keema Kulchas,2023-03-05,dinner,641,32,16,11
64,wendell_cervantez,Tomato Jam Recipe,2023-03-05,breakfast,737,22,12,16
65,wendell_cervantez,Senai Kizhangu Gotsu Recipe - Spicy & Tangy Yam Curry Recipe,2023-03-05,lunch,701,36,14,11
66,wendell_cervantez,Vegetable Pasta Soup Recipe,2023-03-05,dinner,624,33,14,13
67,tabansi_cagle,Basil And Mushroom Toast With Thai Red Chilli Recipe,2023-03-05,breakfast,495,34,13,13
68,tabansi_cagle,One Pot Masala Vegetable Rice Recipe,2023-03-05,lunch,515,38,18,16
69,tabansi_cagle,"Barley Salad With Mint, Cucumber & Olives",2023-03-05,dinner,630,39,16,16
70,maureen_yeates,Ari Pathiri Recipe | Malabar Rice Flatbread Recipe,2023-03-05,breakfast,656,24,14,11
71,maureen_yeates,Kashmiri Style Mutton Gogji Syun Recipe - Mutton & Turnip,2023-03-05,lunch,726,30,19,11
72,maureen_yeates,Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe,2023-03-05,dinner,576,33,12,12
73,marvelle_massa,Eggless Bread Omelette Recipe,2023-03-05,breakfast,484,32,10,6
74,marvelle_massa,Awadhi Style Khatti Arbi Ka Salan Recipe - Roz Ka Khana With Figaro Olive Oil,2023-03-05,lunch,529,42,15,14
75,marvelle_massa,Malai Matar Paneer Recipe (Cottage Cheese & Peas In Rich Creamy Gravy),2023-03-05,dinner,624,40,14,14
76,becse_massa,Konkani Style Cabbage Sanna Polo Recipe - Savory Cabbage Dosa,2023-03-05,breakfast,526,32,16,16
77,becse_massa,Turkish Chicken Gozleme Recipe-Stuffed Spinach Chicken Bread,2023-03-05,lunch,545,36,8,12
78,becse_massa,Chettinad Vegetable Pulao Recipe,2023-03-05,dinner,731,38,19,15
79,esteban_hoag,Cream Cheese Scrambled Eggs Recipe,2023-03-05,breakfast,407,27,18,16
80,esteban_hoag,No Onion No Garlic Aloo Makhana Sabzi Recipe,2023-03-05,lunch,712,40,13,19
81,esteban_hoag,Hunase Saaru Recipe - Mysore Style Spicy Tamarind Rasam,2023-03-05,dinner,508,28,10,10
82,chad_nalls,Brown Rice Kozhukattai Recipe - Savory Brown Rice Dumplings,2023-03-05,breakfast,586,37,13,19
83,chad_nalls,Jeera Hing Aloo Recipe - No Onion No Garlic Recipe,2023-03-05,lunch,532,25,10,15
84,chad_nalls,Mutton Keema Recipe,2023-03-05,dinner,670,34,15,12
85,yuri_hon,Kodava Ellu Pajji Recipe - Sesame & Tamarind Chutney,2023-03-05,breakfast,692,37,16,8
86,yuri_hon,Honey and Sesame Tossed Flat Noodles with Toasted Tofu Recipe,2023-03-05,lunch,548,34,13,16
87,yuri_hon,Spiced Cauliflower And Almond Soup Recipe,2023-03-05,dinner,773,27,11,21
88,dade_gastelum,Andhra Style Multi Lentil Garelu (Vada Recipe),2023-03-05,breakfast,563,46,12,14
89,dade_gastelum,Pacha Payir Kulambu Recipe (South Indian Style Green Gram Curry),2023-03-05,lunch,640,38,14,14
90,dade_gastelum,Mushroom & Bean Sloppy Joe Recipe,2023-03-05,dinner,575,26,13,12
91,lacey_valenta,Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe),2023-03-06,breakfast,746,37,17,15
92,lacey_valenta,Milagu Rasam Recipe - Miriyala Charu | Pepper Rasam With Fresh Ground Rasam Powder,2023-03-06,lunch,453,39,14,10
93,lacey_valenta,Spicy Minced Chicken Keema Balls Curry Recipe,2023-03-06,dinner,472,41,11,15
94,wendell_cervantez,Chocolate Chip Oat Bran Cereal Recipe With Fruits & Nuts,2023-03-06,breakfast,613,36,14,12
